Ac_No,Age,Years of Experience,Number of Vehicles,Gender,Married,Losses in Thousands,Acct_Open_Dt,Defaulted
138988,41,22,1,F,Married,210.312302,24-06-2019,24-11-2019
102189,20,2,1,F,Married,354.1103301,23-06-2019,23-11-2019
128861,68,49,1,F,Married,155.7208447,22-06-2019,22-11-2019
101564,31,12,1,M,Married,670.8921754,21-06-2019,21-11-2019
105052,30,13,1,M,Single,446.7508297,20-06-2019,20-11-2019
116579,64,47,1,M,Married,109.0263426,19-06-2019,19-11-2019
171608,68,47,1,F,Married,119.7330443,18-06-2019,18-11-2019
171105,49,30,1,M,Single,454.8247336,17-06-2019,17-11-2019
152298,23,4,1,M,Single,845.7592784,16-06-2019,16-11-2019
196222,50,32,1,M,Single,274.3142835,15-06-2019,15-11-2019
197889,39,18,1,F,Single,791.135206,14-06-2019,14-11-2019
109945,35,14,1,F,Single,355.2515755,13-06-2019,13-11-2019
120208,38,20,1,M,Married,522.8312209,12-06-2019,12-11-2019
144803,66,47,1,M,Single,347.0821846,11-06-2019,11-11-2019
167746,58,39,1,F,Single,381.7477309,10-06-2019,10-11-2019
140463,25,6,1,M,Single,747.5273873,09-06-2019,09-11-2019
193913,45,26,1,M,Married,391.2383998,08-06-2019,08-11-2019
193219,48,29,1,M,Married,330.1933096,07-06-2019,07-11-2019
196673,18,1,1,M,Single,904.8401349,06-06-2019,06-11-2019
101665,40,19,1,F,Single,387.4851589,05-06-2019,05-11-2019
152722,17,0,1,M,Married,481.5460256,04-06-2019,04-11-2019
181720,32,12,1,M,Married,178.4623223,03-06-2019,03-11-2019
196090,25,6,1,M,Married,597.4422021,02-06-2019,02-11-2019
137351,56,36,1,M,Single,448.7108596,01-06-2019,01-11-2019
116625,67,47,1,F,Married,218.5837842,31-05-2019,31-10-2019
120268,60,41,1,F,Married,227.6644878,30-05-2019,30-10-2019
181439,60,41,1,F,Single,720.2641611,29-05-2019,29-10-2019
182975,16,0,1,M,Single,950.9628027,28-05-2019,28-10-2019
119576,42,21,1,M,Single,368.9411753,27-05-2019,27-10-2019
101760,20,1,1,F,Married,191.4841522,26-05-2019,26-10-2019
124401,40,19,1,M,Single,503.3720137,25-05-2019,25-10-2019
132104,16,0,1,M,Married,264.7891684,24-05-2019,24-10-2019
185013,70,51,1,M,Single,341.9072784,23-05-2019,23-10-2019
118353,20,3,1,F,Married,204.9823703,22-05-2019,22-10-2019
157903,28,9,1,M,Single,707.3793245,21-05-2019,21-10-2019
114055,28,10,1,F,Single,865.1666105,20-05-2019,20-10-2019
174077,20,2,1,F,Married,435.088519,19-05-2019,19-10-2019
155060,22,3,1,M,Single,1095.601585,18-05-2019,18-10-2019
151384,20,2,1,M,Married,373.3754632,17-05-2019,17-10-2019
127729,64,47,1,M,Married,48.01445411,16-05-2019,16-10-2019
198511,44,25,1,F,Single,447.2328034,15-05-2019,15-10-2019
153908,17,0,1,M,Single,665.4768153,14-05-2019,14-10-2019
169358,22,4,1,M,Married,316.9985022,13-05-2019,13-10-2019
108996,61,40,1,M,Single,388.6544422,12-05-2019,12-10-2019
140129,22,4,1,F,Single,405.6484005,11-05-2019,11-10-2019
198046,60,42,1,F,Single,46.01271223,10-05-2019,10-10-2019
149010,17,0,1,M,Married,354.6611912,09-05-2019,09-10-2019
151476,17,0,1,F,Single,296.8081537,08-05-2019,08-10-2019
136743,63,43,1,F,Single,217.1205792,07-05-2019,07-10-2019
171560,41,20,1,M,Married,375.6052838,06-05-2019,06-10-2019
146306,65,48,1,M,Single,25.88680711,05-05-2019,05-10-2019
111448,26,7,1,F,Married,606.3573767,04-05-2019,04-10-2019
149440,59,42,1,M,Single,351.1678295,03-05-2019,03-10-2019
122855,66,45,1,F,Married,15.5892684,02-05-2019,02-10-2019
162634,29,8,1,M,Single,738.9508303,01-05-2019,01-10-2019
187253,21,2,1,F,Married,183.0600479,30-04-2019,30-09-2019
156505,21,3,1,M,Married,311.353198,29-04-2019,29-09-2019
115303,64,46,1,F,Married,260.2725911,28-04-2019,28-09-2019
157222,36,17,1,F,Married,322.0024982,27-04-2019,27-09-2019
163555,46,27,1,M,Single,596.3227132,26-04-2019,26-09-2019
138553,60,42,1,M,Married,162.3570971,25-04-2019,25-09-2019
185458,25,8,1,M,Married,525.0439169,24-04-2019,24-09-2019
102319,47,30,1,F,Married,329.6301926,23-04-2019,23-09-2019
140871,24,6,1,M,Single,413.8328632,22-04-2019,22-09-2019
132547,40,23,1,M,Married,593.2666445,21-04-2019,21-09-2019
198278,21,2,1,F,Single,411.5067461,20-04-2019,20-09-2019
110208,35,16,1,F,Single,394.9982853,19-04-2019,19-09-2019
160827,70,53,1,F,Married,59.00575916,18-04-2019,18-09-2019
183596,48,27,1,M,Single,574.8216925,17-04-2019,17-09-2019
130589,62,44,1,F,Single,84.75366158,16-04-2019,16-09-2019
103014,50,29,1,M,Single,552.2467274,15-04-2019,15-09-2019
188352,67,50,1,M,Single,78.38607932,14-04-2019,14-09-2019
161398,54,34,1,M,Married,314.085069,13-04-2019,13-09-2019
147805,25,8,1,M,Single,3500,12-04-2019,12-09-2019
190621,16,0,1,M,Single,3250,11-04-2019,11-09-2019
161675,66,48,1,M,Single,2850,10-04-2019,10-10-2019
165974,63,43,1,F,Single,2534.63946,09-04-2019,09-10-2019
152551,52,34,1,M,Married,2852.18873,08-04-2019,08-10-2019
142085,25,7,1,F,Married,2879.067137,07-04-2019,07-10-2019
191297,38,20,1,F,Married,2814.312522,06-04-2019,06-10-2019
164185,25,6,1,F,Single,2879.176458,05-04-2019,05-10-2019
122992,50,32,1,F,Single,3462.340629,04-04-2019,04-10-2019
110488,35,15,1,M,Single,3332.771801,03-04-2019,03-10-2019
111434,64,45,1,F,Single,3226.612176,02-04-2019,02-10-2019
176699,68,49,1,F,Married,235.1357629,01-04-2019,01-10-2019
157408,63,45,1,F,Married,60.82862632,31-03-2019,30-09-2019
104797,24,7,1,M,Single,750.7435809,30-03-2019,30-09-2019
167022,58,38,1,F,Married,314.6819894,29-03-2019,29-09-2019
112619,17,0,1,M,Single,1197.444316,28-03-2019,28-09-2019
178782,16,0,1,F,Single,610.5008673,27-03-2019,27-09-2019
130506,20,1,1,M,Single,867.5781431,26-03-2019,26-09-2019
173005,58,38,1,F,Married,284.2330566,25-03-2019,25-09-2019
196406,50,33,1,M,Married,142.5319857,24-03-2019,24-09-2019
151636,58,37,1,M,Single,443.1218792,23-03-2019,23-09-2019
119860,23,5,1,M,Single,1086.924905,22-03-2019,22-09-2019
100079,20,3,1,M,Married,681.5827516,21-03-2019,21-09-2019
135252,52,35,1,M,Married,268.5415695,20-03-2019,20-09-2019
145276,36,16,1,M,Married,429.8250505,19-03-2019,19-09-2019
157539,37,16,1,F,Single,217.9595747,18-03-2019,18-09-2019
178158,61,40,1,F,Married,287.7680412,17-03-2019,17-09-2019
153763,29,11,1,F,Married,387.1689797,16-03-2019,16-09-2019
184637,21,2,1,F,Single,233.2261935,15-03-2019,15-09-2019
129471,22,4,1,F,Married,296.220441,14-03-2019,14-09-2019
172740,31,13,1,F,Single,381.6263384,13-03-2019,13-09-2019
170777,60,42,1,M,Single,97.82479138,12-03-2019,12-09-2019
140244,44,25,1,F,Single,427.346936,11-03-2019,11-09-2019
149411,16,0,1,M,Single,534.6193671,10-03-2019,10-09-2019
155380,18,1,1,F,Married,322.9551348,09-03-2019,09-09-2019
128261,66,47,1,M,Married,313.1380724,08-03-2019,08-09-2019
103771,70,52,1,F,Married,28.52569444,07-03-2019,07-09-2019
179862,19,0,1,M,Married,413.9661157,06-03-2019,06-09-2019
156172,49,30,1,M,Single,396.5517713,05-03-2019,05-09-2019
160283,18,0,1,M,Single,550.0535565,04-03-2019,04-09-2019
181059,24,5,1,F,Single,768.3369443,03-03-2019,03-09-2019
125059,66,46,1,F,Single,430.2457695,02-03-2019,02-09-2019
196280,70,49,1,F,Single,57.96961012,01-03-2019,01-09-2019
108827,25,7,1,F,Single,422.6834837,01-03-2019,01-09-2019
111501,26,8,1,M,Single,298.8722661,28-02-2019,28-08-2019
192032,23,6,1,M,Single,376.1669213,27-02-2019,27-08-2019
196073,35,18,1,F,Single,428.8765231,26-02-2019,26-08-2019
172196,25,6,1,M,Single,619.623702,25-02-2019,25-08-2019
171179,65,46,1,F,Single,357.0767817,24-02-2019,24-08-2019
108405,70,50,1,F,Single,36.73113056,23-02-2019,23-08-2019
110555,26,5,1,M,Single,513.9091147,22-02-2019,22-08-2019
140775,43,22,1,M,Single,383.0935474,21-02-2019,21-08-2019
184678,18,1,1,M,Married,775.5602497,20-02-2019,20-08-2019
190636,39,18,1,M,Single,688.1633261,19-02-2019,19-08-2019
137629,20,2,1,M,Married,250.0483034,18-02-2019,18-08-2019
141654,34,13,1,F,Married,151.2591629,17-02-2019,17-08-2019
174549,69,50,1,F,Single,96.57177764,16-02-2019,16-08-2019
101976,70,53,1,F,Single,156.106545,15-02-2019,15-08-2019
125588,25,7,1,M,Single,1036.422302,14-02-2019,14-08-2019
110830,22,5,1,F,Single,465.6053779,13-02-2019,13-08-2019
101453,57,38,1,F,Married,596.5321778,12-02-2019,12-08-2019
196143,51,31,1,M,Married,514.6965606,11-02-2019,11-08-2019
146751,19,0,1,F,Married,540.6418989,10-02-2019,10-08-2019
122609,64,45,1,F,Married,35.48597259,09-02-2019,09-08-2019
128464,62,42,1,F,Single,92.7900941,08-02-2019,08-08-2019
133656,22,5,1,M,Single,655.1327292,07-02-2019,07-08-2019
107370,46,27,1,M,Single,771.279313,06-02-2019,06-08-2019
169611,56,36,1,M,Single,555.0751738,05-02-2019,05-08-2019
164381,19,2,1,M,Married,289.320228,04-02-2019,04-08-2019
101325,25,8,1,F,Married,319.7637959,03-02-2019,03-08-2019
187545,61,42,1,F,Single,380.0193648,02-02-2019,02-08-2019
140733,35,17,1,M,Single,402.9137936,01-02-2019,01-08-2019
163180,64,46,1,M,Single,217.1632874,31-01-2019,31-07-2019
165026,41,22,1,F,Single,275.294995,30-01-2019,30-07-2019
103182,66,46,1,M,Single,796.0709274,29-01-2019,29-07-2019
106285,62,43,1,M,Single,56.27149032,28-01-2019,28-07-2019
109813,46,28,1,F,Single,713.2035955,27-01-2019,27-07-2019
100018,29,10,1,M,Married,140.7946555,26-01-2019,26-07-2019
135733,65,44,1,M,Single,290.7360244,25-01-2019,25-07-2019
129730,60,39,1,M,Married,203.0429805,24-01-2019,24-07-2019
103606,41,22,1,M,Married,516.9890908,23-01-2019,23-07-2019
128663,46,26,1,F,Married,202.4587138,22-01-2019,22-07-2019
126842,41,24,1,F,Single,428.4593856,21-01-2019,21-07-2019
159663,24,6,1,F,Single,516.0790928,20-01-2019,20-07-2019
121046,62,42,1,F,Married,256.9014828,19-01-2019,19-07-2019
127128,36,15,1,F,Married,376.2971849,18-01-2019,18-07-2019
159668,24,6,1,M,Single,1070.204776,17-01-2019,17-07-2019
160863,49,28,1,M,Married,370.6966267,16-01-2019,16-07-2019
180191,20,3,1,F,Single,266.0967514,15-01-2019,15-07-2019
152361,52,31,1,F,Married,311.9191271,14-01-2019,14-07-2019
140469,21,4,1,F,Single,429.8619791,13-01-2019,13-07-2019
108018,58,39,1,M,Single,818.0944497,12-01-2019,12-07-2019
112856,36,17,1,F,Married,320.2940291,11-01-2019,11-07-2019
115581,18,0,1,F,Married,183.2307779,10-01-2019,10-07-2019
156261,21,3,1,F,Single,564.7148465,09-01-2019,09-07-2019
110157,60,43,1,F,Married,110.3300495,08-01-2019,08-07-2019
150327,63,44,1,F,Single,465.658248,07-01-2019,07-07-2019
177062,64,45,1,M,Single,172.5265908,06-01-2019,06-07-2019
179628,22,5,1,M,Married,360.8051782,05-01-2019,05-07-2019
154549,22,3,1,F,Married,837.3677817,04-01-2019,04-07-2019
174309,26,5,1,F,Married,128.8692649,03-01-2019,03-07-2019
165949,19,0,1,F,Single,484.6961144,02-01-2019,02-07-2019
143867,28,9,1,M,Married,487.8515553,01-01-2019,01-07-2019
115293,24,5,1,M,Married,989.6964115,31-12-2019,30-06-2020
124781,60,39,1,F,Single,165.9840948,30-12-2019,30-06-2020
151108,20,2,1,F,Married,166.5373225,29-12-2019,29-06-2020
134055,43,25,1,M,Married,692.538638,28-12-2019,28-06-2020
158875,23,4,1,M,Married,512.8447128,27-12-2019,27-06-2020
199635,48,27,1,M,Married,628.6211982,26-12-2019,26-06-2020
172931,40,23,1,M,Single,437.5853059,25-12-2019,25-06-2020
110664,64,44,1,M,Single,244.1284514,24-12-2019,24-06-2020
123896,23,6,1,M,Married,479.0179823,23-12-2019,23-06-2020
198927,38,21,1,M,Married,321.0614316,22-12-2019,22-06-2020
193212,19,0,1,M,Married,328.3589705,21-12-2019,21-06-2020
110085,62,42,1,M,Married,387.2442899,20-12-2019,20-06-2020
169347,23,4,1,M,Married,235.0776441,19-12-2019,19-06-2020
167213,34,13,1,F,Married,395.6067606,18-12-2019,18-06-2020
189632,64,47,1,M,Single,65.68992357,17-12-2019,17-06-2020
167717,63,42,1,M,Single,296.012821,16-12-2019,16-06-2020
160508,28,11,1,F,Married,159.3673423,15-12-2019,15-06-2020
125668,16,0,1,M,Married,476.5346165,14-12-2019,14-06-2020
166836,29,11,1,F,Single,509.0594248,13-12-2019,13-06-2020
154044,17,0,1,F,Married,351.8847284,12-12-2019,12-06-2020
183078,55,34,1,F,Married,522.9070466,11-12-2019,11-06-2020
193267,52,31,1,M,Married,314.1997614,10-12-2019,10-06-2020
112976,30,9,1,M,Single,200.7912195,09-12-2019,09-06-2020
114690,16,0,1,F,Married,303.4043979,08-12-2019,08-06-2020
117370,23,5,1,F,Single,787.7636887,07-12-2019,07-06-2020
135686,70,49,1,F,Married,99.83090559,06-12-2019,06-06-2020
173662,18,0,1,F,Married,250.2204478,05-12-2019,05-06-2020
174141,27,7,1,F,Married,488.6956097,04-12-2019,04-06-2020
117625,47,28,1,M,Married,561.796776,03-12-2019,03-06-2020
150029,18,1,1,F,Single,415.4689569,02-12-2019,02-06-2020
149512,19,2,1,F,Single,777.5951773,01-12-2019,01-06-2020
181260,27,8,1,F,Single,355.8158451,30-11-2019,30-05-2020
198494,47,28,1,M,Married,356.572264,29-11-2019,29-05-2020
161421,70,52,1,F,Single,327.935663,28-11-2019,28-05-2020
178940,53,33,1,F,Married,300.7818655,27-11-2019,27-05-2020
127336,21,2,1,M,Married,770.4316087,26-11-2019,26-05-2020
121232,43,23,1,M,Married,689.2935821,25-11-2019,25-05-2020
178596,65,44,1,F,Married,151.2848344,24-11-2019,24-05-2020
101155,30,13,1,F,Single,696.0295489,23-11-2019,23-05-2020
168264,48,30,1,M,Married,237.0227564,22-11-2019,22-05-2020
180115,16,0,1,F,Married,310.3054332,21-11-2019,21-05-2020
158172,63,46,1,M,Single,411.4934109,20-11-2019,20-05-2020
135272,40,22,1,F,Single,629.444886,19-11-2019,19-05-2020
160525,46,27,1,M,Married,393.3264183,18-11-2019,18-05-2020
100210,56,35,1,F,Married,571.9363703,17-11-2019,17-05-2020
111093,19,2,1,F,Married,282.4138477,16-11-2019,16-05-2020
136861,33,12,1,M,Single,454.822674,15-11-2019,15-05-2020
199343,57,38,1,F,Single,478.456794,14-11-2019,14-05-2020
128605,56,36,1,M,Single,193.0311549,13-11-2019,13-05-2020
164611,25,8,1,M,Married,409.9010323,12-11-2019,12-05-2020
192220,55,34,1,M,Single,509.1345942,11-11-2019,11-05-2020
191061,40,20,1,M,Single,423.7222281,10-11-2019,10-05-2020
151362,46,28,1,F,Single,344.2283454,09-11-2019,09-05-2020
187738,42,21,1,M,Married,182.4160381,08-11-2019,08-05-2020
176775,27,8,1,F,Married,161.1440266,07-11-2019,07-05-2020
159600,46,27,1,M,Married,355.735993,06-11-2019,06-05-2020
141403,25,8,1,F,Married,328.8843527,05-11-2019,05-05-2020
171452,42,24,1,M,Married,324.5803862,04-11-2019,04-05-2020
116796,64,46,1,F,Single,454.9945793,03-11-2019,03-05-2020
118790,34,14,1,M,Single,762.0191521,02-11-2019,02-05-2020
159938,64,44,1,F,Single,289.5307529,01-11-2019,01-05-2020
147703,34,16,1,F,Single,458.5579608,31-10-2019,30-04-2020
181163,37,20,1,F,Married,258.8203437,30-10-2019,30-04-2020
168461,21,3,1,M,Single,586.595506,29-10-2019,29-04-2020
171559,68,50,1,M,Married,159.269216,28-10-2019,28-04-2020
168785,26,9,1,F,Single,147.7489935,27-10-2019,27-04-2020
175417,51,34,1,F,Married,308.8097112,26-10-2019,26-04-2020
140551,69,51,1,F,Single,254.7680456,25-10-2019,25-04-2020
143561,38,20,1,M,Single,517.2833796,24-10-2019,24-04-2020
161679,64,45,1,M,Single,105.4432074,23-10-2019,23-04-2020
187609,62,44,1,F,Married,39.95489011,22-10-2019,22-04-2020
164350,70,50,1,M,Married,302.4864881,21-10-2019,21-04-2020
147658,27,9,1,F,Married,311.3847328,20-10-2019,20-04-2020
196071,24,5,1,M,Married,335.7048594,19-10-2019,19-04-2020
173780,24,6,1,F,Married,197.9280454,18-10-2019,18-04-2020
120744,70,50,1,F,Married,81.55524621,17-10-2019,17-04-2020
152233,46,28,1,F,Single,408.0924936,16-10-2019,16-04-2020
101429,61,41,1,M,Single,35.74744486,15-10-2019,15-04-2020
100994,70,53,1,M,Single,319.9288788,14-10-2019,14-04-2020
133327,51,32,1,F,Single,590.2667386,13-10-2019,13-04-2020
196564,49,31,1,F,Single,525.5303261,12-10-2019,12-04-2020
171515,34,13,1,M,Single,939.0853092,11-10-2019,11-04-2020
115864,25,7,1,M,Married,554.2015344,10-10-2019,10-04-2020
162203,24,5,1,M,Single,310.8532989,09-10-2019,09-04-2020
172979,36,15,1,F,Single,877.9333318,08-10-2019,08-04-2020
142500,20,3,1,F,Single,156.6693023,07-10-2019,07-04-2020
159595,20,1,1,F,Single,519.6358893,06-10-2019,06-04-2020
154012,70,53,1,F,Single,103.2503942,05-10-2019,05-04-2020
133980,22,4,1,M,Married,546.9662639,04-10-2019,04-04-2020
130073,61,44,1,M,Single,330.1496076,03-10-2019,03-04-2020
122265,20,2,1,M,Married,655.2242872,02-10-2019,02-04-2020
141110,21,4,1,M,Married,479.7951029,01-10-2019,01-04-2020
117962,19,0,1,F,Married,517.2311218,30-09-2019,30-03-2020
120429,66,49,1,F,Single,71.76435204,29-09-2019,29-03-2020
138510,63,44,1,M,Single,131.0544977,28-09-2019,28-03-2020
102952,51,30,1,F,Single,648.3377527,27-09-2019,27-03-2020
116550,37,17,1,M,Married,341.0717472,26-09-2019,26-03-2020
189773,16,0,1,M,Married,511.7329733,25-09-2019,25-03-2020
153902,21,4,1,M,Married,252.3853189,24-09-2019,24-03-2020
129663,23,6,1,F,Married,187.9585249,23-09-2019,23-03-2020
198193,63,44,1,F,Single,153.8388035,22-09-2019,22-03-2020
169076,63,42,1,M,Married,94.0483353,21-09-2019,21-03-2020
169427,52,32,1,M,Married,208.3574065,20-09-2019,20-03-2020
166756,30,10,1,M,Married,396.8456932,19-09-2019,19-03-2020
105539,21,4,1,F,Married,296.0244249,18-09-2019,18-03-2020
169496,63,46,1,M,Married,75.81174432,17-09-2019,17-03-2020
200391,45,27,1,F,Married,448.5662485,16-09-2019,16-03-2020
117445,61,41,1,F,Married,130.9914388,15-09-2019,15-03-2020
128507,34,16,1,M,Married,147.2741212,14-09-2019,14-03-2020
190032,16,0,1,F,Single,640.2131123,13-09-2019,13-03-2020
112590,23,5,1,M,Married,420.4922713,12-09-2019,12-03-2020
137410,25,7,1,F,Married,396.1408555,11-09-2019,11-03-2020
186036,16,0,1,M,Married,478.3520156,10-09-2019,10-03-2020
105765,30,9,1,F,Married,292.5163921,09-09-2019,09-03-2020
182237,48,29,1,F,Married,527.9214511,08-09-2019,08-03-2020
110357,17,0,1,F,Married,246.7103971,07-09-2019,07-03-2020
196401,69,49,1,M,Married,169.4418198,06-09-2019,06-03-2020
119519,28,9,1,M,Single,440.4587335,05-09-2019,05-03-2020
196503,29,9,1,F,Married,289.6606846,04-09-2019,04-03-2020
192607,24,7,1,M,Single,681.6009788,03-09-2019,03-03-2020
124865,67,48,1,F,Married,162.021823,02-09-2019,02-03-2020
194944,45,28,1,F,Single,237.9548251,01-09-2019,01-03-2020
187015,38,19,1,M,Single,726.0985559,31-08-2019,29-02-2020
165695,50,31,1,M,Single,728.5124594,30-08-2019,29-02-2020
153893,51,32,1,M,Single,445.3525652,29-08-2019,29-02-2020
167349,44,23,1,F,Single,427.1032675,28-08-2019,28-02-2020
140976,52,33,1,M,Married,264.9045348,27-08-2019,27-02-2020
185143,21,2,1,M,Married,317.4901628,26-08-2019,26-02-2020
136163,20,1,1,F,Married,356.4554345,25-08-2019,25-02-2020
125842,70,49,1,M,Single,639.261733,24-08-2019,24-02-2020
159297,60,40,1,M,Married,152.0660029,23-08-2019,23-02-2020
100408,33,15,1,M,Married,598.6892757,22-08-2019,22-02-2020
188214,16,0,1,F,Married,382.4581608,21-08-2019,21-02-2020
101548,19,2,1,M,Married,339.775025,20-08-2019,20-02-2020
107666,62,45,1,F,Married,97.0052298,19-08-2019,19-02-2020
192742,35,17,1,M,Married,167.8386883,18-08-2019,18-02-2020
127036,16,0,1,F,Single,622.0789033,17-08-2019,17-02-2020
178574,34,14,1,F,Married,196.5073839,16-08-2019,16-02-2020
148317,26,8,1,M,Single,489.774795,15-08-2019,15-02-2020
169827,23,4,1,M,Married,307.9160669,14-08-2019,14-02-2020
158864,48,31,1,F,Single,581.3363152,13-08-2019,13-02-2020
149804,33,14,1,F,Married,324.7471949,12-08-2019,12-02-2020
178723,33,15,1,M,Married,546.5349024,11-08-2019,11-02-2020
158387,57,40,1,F,Single,379.2612055,10-08-2019,10-02-2020
197918,61,41,1,F,Married,122.8351382,09-08-2019,09-02-2020
129981,70,49,1,M,Married,401.9377187,08-08-2019,08-02-2020
194863,61,40,1,M,Married,39.06923279,07-08-2019,07-02-2020
182161,24,5,1,M,Married,604.5968924,06-08-2019,06-02-2020
180475,39,21,1,M,Single,352.1776675,05-08-2019,05-02-2020
140740,52,32,1,F,Single,323.3784995,04-08-2019,04-02-2020
169171,25,7,1,M,Married,180.2839243,03-08-2019,03-02-2020
115611,67,46,1,F,Married,299.7655866,02-08-2019,02-02-2020
152972,25,6,1,M,Married,583.9925703,01-08-2019,01-02-2020
152327,56,38,1,F,Single,484.2868664,31-07-2019,31-01-2020
107571,26,8,1,M,Married,425.3481104,30-07-2019,30-01-2020
172758,63,43,1,F,Married,40.93404521,29-07-2019,29-01-2020
126567,62,42,1,F,Single,127.4005318,28-07-2019,28-01-2020
191861,52,31,1,M,Married,332.1391406,27-07-2019,27-01-2020
126307,53,35,1,M,Married,382.1779015,26-07-2019,26-01-2020
101826,34,15,1,M,Married,201.8179313,25-07-2019,25-01-2020
151310,17,0,1,M,Married,449.274253,24-07-2019,24-01-2020
196931,17,0,1,F,Married,479.4391977,23-07-2019,23-01-2020
128634,64,46,1,M,Married,206.7379713,22-07-2019,22-01-2020
161597,68,51,1,M,Single,48.10845199,21-07-2019,21-01-2020
109884,18,0,1,M,Married,333.2548377,20-07-2019,20-01-2020
169116,31,12,1,M,Single,800.6210897,19-07-2019,19-01-2020
190939,18,1,1,F,Married,181.7398301,18-07-2019,18-01-2020
185233,67,46,1,F,Married,207.5631629,17-07-2019,17-01-2020
118109,69,49,1,F,Married,44.85076261,16-07-2019,16-01-2020
160237,49,30,1,F,Single,389.6227552,15-07-2019,15-01-2020
177000,22,4,1,M,Married,456.2160705,14-07-2019,14-01-2020
189028,59,40,1,M,Single,780.2021419,13-07-2019,13-01-2020
161478,17,0,1,M,Single,852.9917769,12-07-2019,12-01-2020
188298,62,43,1,M,Married,298.1251488,11-07-2019,11-01-2020
171213,44,23,1,F,Single,517.2484855,10-07-2019,10-01-2020
101617,25,6,1,F,Single,227.3336458,09-07-2019,09-01-2020
125820,54,34,1,M,Married,395.9018181,08-07-2019,08-01-2020
150893,22,3,1,F,Single,238.1623425,07-07-2019,07-01-2020
171784,23,5,1,M,Married,623.8842385,06-07-2019,06-01-2020
157566,60,39,1,F,Single,188.1206318,05-07-2019,05-01-2020
184178,21,2,1,M,Married,544.2032325,04-07-2019,04-01-2020
117590,19,0,1,M,Single,325.562891,03-07-2019,03-01-2020
103030,24,6,1,F,Married,182.8039805,02-07-2019,02-01-2020
137592,66,47,1,F,Single,155.5223241,01-07-2019,01-01-2020
175249,31,13,1,F,Single,502.7124322,30-06-2019,30-12-2019
146920,42,25,1,M,Single,262.9411765,29-06-2019,29-12-2019
199913,37,19,1,M,Married,324.1466938,28-06-2019,28-12-2019
177817,32,12,1,F,Married,312.2857892,27-06-2019,27-12-2019
176406,56,38,1,F,Single,205.9058749,26-06-2019,26-12-2019
118396,57,39,1,F,Single,367.8672027,25-06-2019,25-12-2019
179121,67,48,1,F,Married,165.6764223,24-06-2019,24-12-2019
172178,24,5,1,M,Married,451.8458055,23-06-2019,23-12-2019
127158,55,38,1,M,Married,354.9675474,22-06-2019,22-12-2019
150804,36,17,1,M,Married,375.07503,21-06-2019,21-12-2019
196933,17,0,1,M,Single,841.6097425,20-06-2019,20-12-2019
156935,23,4,1,M,Single,565.75928,19-06-2019,19-12-2019
187466,61,42,1,M,Married,341.8587982,18-06-2019,18-12-2019
145693,48,29,1,F,Single,407.1739205,17-06-2019,17-12-2019
161277,25,6,1,F,Single,559.1451267,16-06-2019,16-12-2019
117086,16,0,1,M,Married,547.4455297,15-06-2019,15-12-2019
103922,41,21,1,M,Single,169.8042272,14-06-2019,14-12-2019
195112,21,4,1,M,Married,1066.302464,13-06-2019,13-12-2019
192661,25,8,1,F,Married,250.8077066,12-06-2019,12-12-2019
159443,55,36,1,F,Married,188.8132454,11-06-2019,11-12-2019
178402,22,3,1,F,Single,567.0537545,10-06-2019,10-12-2019
